Metabolite,D229,D360,D384,D391,D75,D274,D34,D356,D368,D370
%C15:0-PP,0.297%,0.249%,0.262%,0.325%,0.315%,0.257%,0.200%,0.237%,0.259%,0.224%
%C22:0-F,0.045%,0.016%,0.061%,0.024%,0.025%,0.026%,0.018%,0.019%,0.017%,0.010%
%_ MUFA-PP,34.067%,33.688%,37.928%,38.302%,35.778%,35.188%,35.217%,34.668%,31.939%,35.222%
8(9)-EpETrE-To-F,14.60,24.00,9.76,12.30,15.60,6.75,9.82,7.91,3.52,15.40
C22:5n3/C20:5n3-PP,1.90,1.23,1.46,2.65,0.97,0.73,0.35,1.26,1.16,1.45
9_10-DiHOME-NE-F,,0.93,3.11,0.05,0.33,,0.06,0.08,0.00,0.11
5-KETE-NE-F,0.03,0.10,0.11,0.07,0.05,0.07,0.02,0.07,0.04,0.04
%C15:0-F,0.315%,0.185%,0.315%,0.334%,0.378%,0.233%,0.151%,0.247%,0.279%,0.186%
C22:6n3 (DHA)-PP,58.48,52.92,43.94,23.65,97.65,45.72,57.02,43.84,220.30,64.32
%C20:5n3 (EPA)-PP,0.2155%,0.3230%,0.1309%,0.1528%,0.2744%,0.4434%,0.6976%,0.2078%,0.2793%,0.2413%
C18:1n9/C18:0-NEFA-F,4.98,5.29,3.82,2.90,5.27,5.87,5.70,3.65,12.43,2.63
17-HDoHE-To-PP,12.20,8.76,4.09,2.11,15.70,8.29,14.00,4.29,57.50,8.31
%-C20:5n3-NEFA-PP,0.053%,0.078%,0.176%,0.178%,0.240%,0.262%,0.264%,0.168%,0.244%,0.303%
15-HEPE-To-PP,1.66,2.31,1.21,0.84,4.24,1.95,6.80,1.37,4.54,2.66
_ (n-3) PUFA-PP,171.09,191.70,219.52,78.62,216.59,151.92,242.43,149.85,485.15,299.68
17(18)-EpETE-To-PP,1.95,1.67,2.48,1.35,1.47,4.66,5.04,1.54,4.09,1.74
15-KETE-To-PP,2.63,2.62,2.46,1.86,2.09,2.48,2.41,2.94,5.93,4.49
C20:4n3-PP,1.44,2.57,3.13,1.81,2.86,2.48,4.34,2.29,4.53,5.25
C20:5n3 (EPA)-PP,13.84,22.27,14.39,4.45,23.33,23.55,58.85,12.53,39.85,30.88
5-HEPE-To-PP,2.46,3.02,2.52,1.20,3.56,3.31,8.60,1.79,6.74,4.21
11(12)-EpETE-To-PP,1.18,0.82,0.85,0.30,0.62,1.79,1.58,0.73,2.48,1.20
12-HEPE-To-PP,1.08,1.73,1.32,0.85,1.19,1.84,2.76,0.80,4.32,3.06
9-HEPE-To-PP,1.05,1.11,0.92,0.26,1.15,1.57,2.18,0.77,2.67,1.51
12_13-DiHOME-NE-F,0.08,1.61,2.71,0.15,0.69,0.02,0.17,0.17,0.09,0.37
%C19:0-PP,0.0206%,0.0333%,0.0232%,0.0228%,0.0157%,0.0258%,0.0165%,0.0206%,0.0121%,0.0212%
6-keto PGF1a-NE-F,0.42,0.70,0.65,0.29,0.39,0.28,0.28,0.20,0.34,0.44
9_10-e-DiHO-NE-F,2.02,5.79,6.61,2.48,3.51,1.43,2.39,3.32,2.22,2.35
9-HODE-NE-F,3.47,13.40,22.50,1.91,5.75,1.71,1.75,6.29,2.37,5.28
C18:4n3-F,2.00,6.71,8.04,7.66,2.59,8.19,1.56,3.87,2.34,2.51
%-C18:0-NEFA-F,4.991%,4.144%,6.640%,7.666%,4.845%,4.680%,4.569%,6.205%,2.896%,6.128%
