Donor,Parent Fatty Acid,Epoxide To-PP sum,Epoxide To-F sum,Epoxide NE-PP sum,Epoxide NE-F sum,Diol To-PP sum,Diol To-F sum,Diol NE-PP sum,Diol NE-F sum,NE-PP Ratio,NE-F Ratio,To-PP Ratio,To-F Ratio
D229,All,435.2,485.64,19.592,14.036,18.5062,8.1332,6.2881,0.79966,0.320952429563,0.0569720718153,0.0425234375,0.0167473848942
D360,All,280.791,1326.02,11.133,20.01,31.2123,40.258,7.26223,11.1125,0.652315638193,0.555347326337,0.111158477302,0.0303600247357
D384,All,894.805,362.258,52.29,14.049,63.522,14.7801,27.3977,16.79,0.523956779499,1.1951028543,0.0709897687206,0.0407999271238
D391,All,243.278,437.31,18.45,5.5653,24.0814,8.3644,3.80092,1.00761,0.206011924119,0.181052234381,0.0989871669448,0.0191269351261
D75,All,170.734,554.08,6.349,7.9418,19.159,40.091,1.594626,3.169,0.251161757757,0.399027928177,0.112215493106,0.0723559774762
D274,All,400.06,312.71,16.11,2.4817,10.1508,5.83642,4.8813,0.56725,0.302998137803,0.228573155498,0.0253731940209,0.0186640017908
D34,All,248.67,485.84,14.009,6.159,47.639,30.319,7.49,1.8994,0.534656292383,0.308394219841,0.191575179957,0.0624053186234
D356,All,362.709,267.76,21.465,35.79,19.8741,9.6362,9.4667,1.3466,0.441029583042,0.037625034926,0.0547935121544,0.0359881983866
D368,All,623.62,180.569,17.974,13.032,27.885,7.8798,8.5693,0.729239,0.476760876822,0.0559575659914,0.0447147301241,0.0436387198246
D370,All,537.14,610.2,23.548,5.979,30.4662,18.083,9.5676,1.28183,0.406302021403,0.214388693761,0.0567192910601,0.0296345460505
D229,AA,45.7,64.2,0.0,0.0,4.7048,5.378,0.3292,0.57096,inf,inf,0.102949671772,0.083769470405
D360,AA,22.38,140.6,0.0,0.0,3.5683,19.807,0.2265,4.8825,inf,inf,0.159441465594,0.140874822191
D384,AA,50.6,38.36,0.0,0.0,5.455,8.378,0.5489,1.24,inf,inf,0.107806324111,0.218404588113
D391,AA,17.62,50.9,0.0,0.0,2.7423,5.003,0.15453,0.55591,inf,inf,0.155635641317,0.0982907662083
D75,AA,18.85,75.2,0.0,0.0,5.315,11.535,0.536456,1.158,inf,inf,0.281962864721,0.153390957447
D274,AA,36.07,30.29,0.0,0.0,3.1836,2.7434,0.275,0.20692,inf,inf,0.0882617133352,0.0905711455926
D34,AA,15.34,61.32,0.0,0.0,3.927,12.909,0.2751,0.6915,inf,inf,0.255997392438,0.210518590998
D356,AA,34.67,35.51,0.0,0.0,4.716,5.776,0.5517,0.7754,inf,inf,0.136025382175,0.162658406083
D368,AA,54.5,15.47,0.0,0.0,6.377,4.5617,0.3907,0.40079,inf,inf,0.117009174312,0.29487394958
D370,AA,55.5,88.1,0.0,0.0,6.476,10.735,0.4504,0.555,inf,inf,0.116684684685,0.121850170261
D229,LA,294.0,355.0,14.96,13.76,9.65,1.604,2.601,0.0846,0.173863636364,0.00614825581395,0.0328231292517,0.00451830985915
D360,LA,186.9,943.0,7.45,16.21,17.29,12.64,3.6,2.536,0.48322147651,0.156446637878,0.0925093632959,0.0134040296925
D384,LA,584.0,264.0,36.1,10.39,42.1,2.67,15.21,5.82,0.421329639889,0.560153994225,0.0720890410959,0.0101136363636
D391,LA,153.2,298.0,11.31,5.53,12.72,1.778,1.504,0.1951,0.132979664014,0.0352802893309,0.0830287206266,0.00596644295302
D75,LA,117.4,368.0,4.65,5.93,7.8,20.85,0.634,1.016,0.136344086022,0.171332209106,0.0664395229983,0.0566576086957
D274,LA,279.0,222.4,13.75,1.875,4.28,1.456,1.771,0.0243,0.1288,0.01296,0.0153405017921,0.00654676258993
D34,LA,143.1,294.0,9.59,2.389,28.2,5.9,3.55,0.2306,0.370177267987,0.0965257429887,0.197064989518,0.0200680272109
D356,LA,231.3,188.7,14.19,20.7,9.32,1.779,3.9,0.2531,0.274841437632,0.0122270531401,0.0402939904885,0.00942766295707
D368,LA,431.0,137.2,12.31,12.11,15.17,1.732,4.52,0.085349,0.367181153534,0.00704781172585,0.0351972157773,0.0126239067055
D370,LA,345.0,415.0,14.38,4.27,17.51,4.72,4.23,0.479,0.294158553547,0.112177985948,0.0507536231884,0.0113734939759
D229,DHA,6.89,12.5,0.0,0.0,0.0514,0.0481,0.0228,0.0287,inf,inf,0.00746008708273,0.003848
D360,DHA,3.2,23.4,0.0,0.0,0.0,0.212,0.00373,0.138,inf,inf,0.0,0.00905982905983
D384,DHA,6.98,7.18,0.0,0.0,0.107,0.0601,0.0888,0.509,inf,inf,0.015329512894,0.0083704735376
D391,DHA,4.98,10.2,0.0,0.0,0.0331,0.157,0.00839,0.014,inf,inf,0.00664658634538,0.0153921568627
D75,DHA,5.9,14.3,0.0,0.0,0.135,0.189,0.00157,0.0267,inf,inf,0.0228813559322,0.0132167832168
D274,DHA,4.87,6.72,0.0,0.0,0.0342,0.00902,0.0219,0.023,inf,inf,0.00702258726899,0.00134226190476
D34,DHA,3.19,15.3,0.0,0.0,0.167,0.314,0.0379,0.0373,inf,inf,0.0523510971787,0.020522875817
D356,DHA,4.36,8.16,0.0,0.0,0.0361,0.0737,0.027,0.0334,inf,inf,0.00827981651376,0.0090318627451
D368,DHA,19.4,5.88,0.0,0.0,0.159,0.168,0.0676,0.0455,inf,inf,0.00819587628866,0.0285714285714
D370,DHA,4.8,7.47,0.0,0.0,0.0542,0.047,0.0502,0.0238,inf,inf,0.0112916666667,0.00629183400268
D229,aLA,85.48,48.64,4.632,0.276,3.014,0.2961,3.3351,0.0937,0.720012953368,0.339492753623,0.0352597098737,0.00608758223684
D360,aLA,65.82,197.7,3.683,3.8,9.11,4.259,3.432,3.18,0.931849036112,0.836842105263,0.138407778791,0.0215427415276
D384,aLA,249.9,47.72,16.19,3.659,15.37,2.148,11.55,8.77,0.713403335392,2.3968297349,0.0615046018407,0.0450125733445
D391,aLA,65.83,71.44,7.14,0.0353,8.1,0.8074,2.134,0.143,0.298879551821,4.05099150142,0.12304420477,0.0113017917133
D75,aLA,26.49,88.8,1.699,2.0118,4.813,5.46,0.4226,0.931,0.248734549735,0.462769659012,0.181691204228,0.0614864864865
D274,aLA,73.67,47.13,2.36,0.6067,1.915,1.049,2.8134,0.305,1.19211864407,0.50271963079,0.0259942989005,0.0222575854021
D34,aLA,80.42,93.54,4.419,3.77,13.96,5.093,3.627,0.715,0.820773930754,0.189655172414,0.173588659537,0.0544472952747
D356,aLA,90.11,32.91,7.275,15.09,4.553,1.3185,4.988,0.274,0.685635738832,0.0181577203446,0.0505271335035,0.040063810392
D368,aLA,112.15,20.16,5.664,0.922,5.05,0.6321,3.591,0.179,0.634004237288,0.194143167028,0.0450289790459,0.0313541666667
D370,aLA,128.9,93.2,9.168,1.709,5.16,1.154,4.837,0.215,0.527595986038,0.125804564073,0.0400310318076,0.0123819742489
D229,EPA,3.13,5.3,0.0,0.0,1.086,0.807,0.0,0.0217,,inf,0.34696485623,0.152264150943
D360,EPA,2.491,21.32,0.0,0.0,1.244,3.34,0.0,0.376,,inf,0.499397832196,0.156660412758
D384,EPA,3.325,4.998,0.0,0.0,0.49,1.524,0.0,0.451,,inf,0.147368421053,0.304921968788
D391,EPA,1.648,6.77,0.0,0.0,0.486,0.619,0.0,0.0996,,inf,0.294902912621,0.0914327917282
D75,EPA,2.094,7.78,0.0,0.0,1.096,2.057,0.0,0.0373,,inf,0.523400191022,0.264395886889
D274,EPA,6.45,6.17,0.0,0.0,0.738,0.579,0.0,0.00803,,inf,0.114418604651,0.0938411669368
D34,EPA,6.62,21.68,0.0,0.0,1.385,6.103,0.0,0.225,,inf,0.209214501511,0.281503690037
D356,EPA,2.269,2.48,0.0,0.0,1.249,0.689,0.0,0.0107,,inf,0.550462758925,0.277822580645
D368,EPA,6.57,1.859,0.0,0.0,1.129,0.786,0.0,0.0186,,inf,0.171841704718,0.422807961269
D370,EPA,2.94,6.43,0.0,0.0,1.266,1.427,0.0,0.00903,,inf,0.430612244898,0.221928460342
